"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"196057","1981-10-26T18:34:38.830Z",30.077,95.026,33,4.5,"mb",NA,NA,NA,1.1,"us","usp0001gpg","2014-11-07T00:30:15.853Z","eastern Xizang","earthquake",NA,NA,NA,2,"reviewed","us","us","eastern Xizang"
"196079","1981-10-24T01:39:26.080Z",29.89,95.054,33,4.5,"mb",NA,NA,NA,1,"us","usp0001gn3","2014-11-07T00:30:15.559Z","eastern Xizang-India border region","earthquake",NA,NA,NA,12,"reviewed","us","us","eastern Xizang-India border region"
"196080","1981-10-23T23:44:48.850Z",29.891,95.027,33,4.9,"mb",NA,NA,NA,1.2,"us","usp0001gn2","2014-11-07T00:30:15.546Z","eastern Xizang-India border region","earthquake",NA,NA,NA,27,"reviewed","us","us","eastern Xizang-India border region"
"196120","1981-10-19T10:46:18.310Z",31.814,88.424,33,4.5,"mb",NA,NA,NA,1.4,"us","usp0001gjg","2014-11-07T00:30:15.016Z","western Xizang","earthquake",NA,NA,NA,3,"reviewed","us","us","western Xizang"
"196257","1981-10-03T09:01:43.460Z",30.359,94.878,33,4.5,"mb",NA,NA,NA,1.2,"us","usp0001g8y","2014-11-07T00:30:11.075Z","eastern Xizang","earthquake",NA,NA,NA,6,"reviewed","us","us","eastern Xizang"
"197329","1981-06-13T00:56:56.330Z",31.704,78.335,33,5,"mb",NA,NA,NA,0.9,"us","usp0001e4b","2014-11-07T00:29:37.306Z","western Xizang-India border region","earthquake",NA,NA,NA,39,"reviewed","us","us","western Xizang-India border region"
"197445","1981-05-28T23:14:09.540Z",31.851,78.411,33,5.6,"ms",NA,NA,NA,1,"us","usp0001dxc","2017-04-26T17:34:50.544Z","western Xizang-India border region","earthquake",NA,NA,NA,1,"reviewed","us","us","western Xizang-India border region"
"197598","1981-05-13T02:07:54.010Z",32.682,82.403,33,4.9,"mb",NA,NA,NA,0.8,"us","usp0001dn6","2014-11-07T00:29:29.174Z","western Xizang","earthquake",NA,NA,NA,23,"reviewed","us","us","western Xizang"
"197829","1981-04-14T17:01:42.140Z",35.066,86.43,33,4.5,"mb",NA,NA,NA,1,"us","usp0001d5f","2014-11-07T00:29:12.652Z","western Xizang","earthquake",NA,NA,NA,3,"reviewed","us","us","western Xizang"
"198397","1981-02-09T23:13:07.360Z",36.224,87.047,33,5.1,"mb",NA,NA,NA,0.8,"us","usp0001c3r","2016-11-09T21:50:20.254Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,32,"reviewed","us","us","Xinjiang-Xizang border region"
"199145","1980-11-20T14:03:28.800Z",29.593,85.222,33,4.8,"mb",NA,NA,NA,NA,"us","usp0001awh","2014-11-06T23:24:27.453Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"199157","1980-11-18T13:46:22.000Z",29.558,85.173,33,4.7,"mb",NA,NA,NA,NA,"us","usp0001avn","2014-11-06T23:24:27.408Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"199557","1980-10-08T16:19:57.600Z",31.354,87.666,33,5,"mb",NA,NA,NA,NA,"us","usp0001a4s","2014-11-06T23:24:26.355Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
