"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"194429","1982-04-20T07:45:27.840Z",-55.567,159.544,10,4.5,"mb",NA,NA,NA,1.1,"us","usp0001kus","2014-11-07T00:31:09.789Z","Macquarie Island region","earthquake",NA,NA,NA,1,"reviewed","us","us","Macquarie Island region"
"195093","1982-02-11T00:10:42.460Z",-60.321,153.172,10,4.7,"mb",NA,NA,NA,1,"us","usp0001jjx","2014-11-07T00:30:50.652Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"196134","1981-10-17T23:43:36.350Z",-52.802,138.195,10,4.5,"mb",NA,NA,NA,1,"us","usp0001ghf","2014-11-07T00:30:14.528Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"196299","1981-09-28T09:14:53.450Z",-53.507,139.933,10,4.7,"mb",NA,NA,NA,1.3,"us","usp0001g5a","2014-11-07T00:30:08.006Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"196306","1981-09-28T01:20:07.640Z",-53.154,141.057,10,4.9,"mb",NA,NA,NA,1.5,"us","usp0001g4x","2014-11-07T00:30:07.922Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"196307","1981-09-28T00:13:29.840Z",-53.171,140.093,10,5,"ms",NA,NA,NA,1.2,"us","usp0001g4w","2014-11-07T00:30:07.915Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"196310","1981-09-27T17:15:11.000Z",-55.288,146.027,10,5.1,"ms",NA,NA,NA,1.1,"us","usp0001g4n","2016-11-09T23:35:09.871Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"196723","1981-08-15T00:19:34.110Z",-55.29,158.431,33,4.6,"mb",NA,NA,NA,1,"us","usp0001f9r","2014-11-07T00:29:56.040Z","Macquarie Island region","earthquake",NA,NA,NA,2,"reviewed","us","us","Macquarie Island region"
"197047","1981-07-14T20:24:10.120Z",-52.746,160.545,10,5.1,"mb",NA,NA,NA,1.4,"us","usp0001epx","2014-11-07T00:29:47.032Z","Macquarie Island region","earthquake",NA,NA,NA,5,"reviewed","us","us","Macquarie Island region"
"197185","1981-06-28T14:27:05.970Z",-55.642,146.93,10,5,"ms",NA,NA,NA,0.8,"us","usp0001ed2","2016-11-09T22:51:50.769Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"197328","1981-06-13T01:26:03.190Z",-60.171,154.712,10,6,"ms",NA,NA,NA,1.1,"us","usp0001e4c","2016-11-09T22:45:00.613Z","west of Macquarie Island","earthquake",NA,NA,NA,11,"reviewed","us","us","west of Macquarie Island"
"197707","1981-04-27T18:17:33.780Z",-57.591,148.079,10,6.5,"ms",NA,NA,NA,1.4,"us","usp0001ddz","2016-11-09T22:23:39.846Z","west of Macquarie Island","earthquake",NA,NA,NA,13,"reviewed","us","us","west of Macquarie Island"
"197887","1981-04-09T08:37:09.680Z",-59.779,150.235,10,6.2,"ms",NA,NA,NA,1,"us","usp0001d2b","2016-11-09T22:15:49.019Z","west of Macquarie Island","earthquake",NA,NA,NA,23,"reviewed","us","us","west of Macquarie Island"
"198521","1981-01-28T19:25:32.500Z",-54.59,158.016,10,5.6,"ms",NA,NA,NA,NA,"us","usp0001bxr","2016-11-09T21:45:54.379Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Macquarie Island region"
"198846","1980-12-23T18:00:31.600Z",-55.487,147.423,10,5.1,"mb",NA,NA,NA,NA,"us","usp0001be0","2016-11-10T00:16:27.161Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","us","west of Macquarie Island"
"198942","1980-12-12T13:17:14.300Z",-58.937,149.114,10,5.6,"ms",NA,NA,NA,NA,"us","usp0001b8d","2016-11-10T00:11:11.328Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","us","west of Macquarie Island"
"199019","1980-12-01T21:48:45.000Z",-55.572,146.682,10,4.8,"mb",NA,NA,NA,NA,"us","usp0001b4e","2014-11-06T23:24:27.855Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","us","west of Macquarie Island"
"199148","1980-11-19T22:28:48.900Z",-56.428,146.938,10,4.8,"mb",NA,NA,NA,NA,"us","usp0001aw5","2014-11-06T23:24:27.436Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","us","west of Macquarie Island"
"199866","1980-08-27T13:06:03.500Z",-57.638,157.95,33,4.6,"mb",NA,NA,NA,NA,"us","usp00019js","2014-11-06T23:24:25.709Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Macquarie Island region"
"199930","1980-08-19T16:14:49.300Z",-55.795,147.319,10,5.3,"mb",NA,NA,NA,NA,"us","usp00019f2","2016-11-09T23:16:51.303Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","us","west of Macquarie Island"
"200263","1980-07-13T21:53:24.300Z",-54.464,159.075,17,5.4,"mb",NA,NA,NA,NA,"us","usp00018v1","2014-11-06T23:24:24.269Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Macquarie Island region"
