"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"119972","1999-11-19T19:59:07.960Z",40.809,30.967,6.7,4.8,"mb",NA,NA,NA,NA,"us","usp0009hv2","2014-11-07T01:08:59.095Z","western Turkey","earthquake",NA,NA,NA,52,"reviewed","isk","us","western Turkey"
"120006","1999-11-17T08:15:26.200Z",40.807,31.467,9.4,4.8,"mb",NA,NA,NA,NA,"us","usp0009hrs","2014-11-07T01:08:58.655Z","western Turkey","earthquake",NA,NA,NA,51,"reviewed","isk","us","western Turkey"
"120018","1999-11-16T17:51:18.100Z",40.717,31.608,10,5.1,"mb",NA,NA,NA,1.18,"us","usp0009hqg","2017-04-13T22:12:11.122Z","western Turkey","earthquake",NA,NA,NA,93,"reviewed","us","us","western Turkey"
"120051","1999-11-13T00:54:55.330Z",40.768,31.05,10,4.8,"mb",NA,NA,NA,1.09,"us","usp0009hgn","2014-11-07T01:08:57.757Z","western Turkey","earthquake",NA,NA,NA,47,"reviewed","us","us","western Turkey"
"120052","1999-11-12T20:04:44.990Z",40.758,31.219,10,4.5,"mb",NA,NA,NA,1.2,"us","usp0009hfs","2014-11-07T01:08:57.661Z","western Turkey","earthquake",NA,NA,NA,29,"reviewed","us","us","western Turkey"
"120053","1999-11-12T18:14:31.190Z",40.738,31.339,10,4.8,"mb",NA,NA,NA,0.96,"us","usp0009hfc","2014-11-07T01:08:57.627Z","western Turkey","earthquake",NA,NA,NA,35,"reviewed","us","us","western Turkey"
"120054","1999-11-12T17:46:56.820Z",40.732,30.953,10,4.5,"mb",NA,NA,NA,1.19,"us","usp0009hf4","2014-11-07T01:08:57.607Z","western Turkey","earthquake",NA,NA,NA,27,"reviewed","us","us","western Turkey"
"120055","1999-11-12T17:29:31.510Z",40.742,31.471,10,5.2,"mb",NA,NA,NA,1.28,"us","usp0009hf3","2014-11-07T01:08:57.598Z","western Turkey","earthquake",NA,NA,NA,42,"reviewed","us","us","western Turkey"
"120056","1999-11-12T17:26:14.640Z",40.697,31.515,10,4.5,"mb",NA,NA,NA,1.04,"us","usp0009hf2","2014-11-07T01:08:57.593Z","western Turkey","earthquake",NA,NA,NA,15,"reviewed","us","us","western Turkey"
"120057","1999-11-12T17:22:54.340Z",40.793,31.116,10,4.6,"mb",NA,NA,NA,0.91,"us","usp0009hf1","2014-11-07T01:08:57.589Z","western Turkey","earthquake",NA,NA,NA,21,"reviewed","us","us","western Turkey"
"120058","1999-11-12T17:17:56.790Z",40.785,31.12,10,5.5,"mb",NA,NA,NA,1.11,"us","usp0009hf0","2014-11-07T01:08:57.576Z","western Turkey","earthquake",NA,NA,NA,62,"reviewed","us","us","western Turkey"
"120059","1999-11-12T17:16:50.120Z",40.755,31.022,10,4.8,"mb",NA,NA,NA,1.02,"us","usp0009hez","2014-11-07T01:08:57.568Z","western Turkey","earthquake",NA,NA,NA,30,"reviewed","us","us","western Turkey"
"120060","1999-11-12T16:57:19.550Z",40.758,31.161,10,7.2,"mwc",NA,NA,NA,1.11,"us","usp0009hev","2017-04-26T17:56:31.582Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"120070","1999-11-11T14:41:25.610Z",40.744,30.266,22,5.7,"mwb",NA,NA,NA,NA,"us","usp0009hd3","2017-04-26T17:56:30.990Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","isk","us","western Turkey"
"120110","1999-11-07T16:54:41.730Z",40.693,30.725,10,5,"mwc",NA,NA,NA,1.14,"us","usp0009h7v","2017-04-26T17:56:29.260Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"120286","1999-10-20T23:08:19.540Z",40.77,29.087,10,4.6,"mb",NA,NA,NA,1.27,"us","usp0009gax","2014-11-07T01:08:45.133Z","western Turkey","earthquake",NA,NA,NA,42,"reviewed","us","us","western Turkey"
"120552","1999-09-29T00:13:05.580Z",40.739,29.346,10,5.2,"mwc",NA,NA,NA,1.23,"us","usp0009f5w","2017-04-26T17:56:20.582Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"120676","1999-09-20T21:27:59.200Z",40.644,27.589,10,4.8,"mb",NA,NA,NA,1.18,"us","usp0009era","2014-11-07T01:08:30.714Z","western Turkey","earthquake",NA,NA,NA,56,"reviewed","us","us","western Turkey"
"120730","1999-09-18T00:48:24.660Z",40.607,29.297,10,4.5,"mb",NA,NA,NA,1.05,"us","usp0009ejt","2014-11-07T01:08:29.881Z","western Turkey","earthquake",NA,NA,NA,47,"reviewed","us","us","western Turkey"
